Agent,attribute,a_score
Selenium,sec-ch-ua,0.7051
Selenium,upgrade-insecure-requests,0.0
Selenium,multiMediaDevices_speakers,0.5012
Selenium,permissions_push,0.5
Selenium,permissions_notifications,0.5898
Selenium,permissions_clipboard-write,0.6488
Selenium,userAgentData,0.6684
Selenium,hardwareConcurrency,0.3535
Selenium,battery_chargingTime,0.5634
Selenium,battery_charging,0.5547
Selenium,battery_dischargingTime,0.0984
Selenium,navigator_properties_hash,0.6661
Selenium,audioFormats_audio/3gpp,0.1622
Selenium,cf-ipcountry,0.0
Selenium,userAgentData_bitness,0.5274
Selenium,plugins,0.3315
Selenium,window_outer_height,0.9594
Selenium,deviceMemory,0.5004
Selenium,battery_level,0.6669
Selenium,sec-fetch-site,0.0
Selenium,resOverflow_errorStacklength,0.8562
Selenium,window_inner_width,0.8945
Selenium,connection-js,0.5
Selenium,alt-used,0.015
Selenium,userAgent-js,0.8299
Selenium,detailChrome_sendMessage,0.5453
Selenium,hasChrome,0.5
Selenium,connection-js_rtt,0.8889
Selenium,permissions,0.0
Selenium,connection-js_downlinkMax,0.0
Selenium,cdn-loop,0.0
Selenium,audioContext_state,0.4197
Selenium,multiMediaDevices,0.0024
Selenium,detailChrome_runtime,0.5453
Selenium,"videoFormats_video/ogg; codecs=""opus""",0.5
Selenium,permissions_camera,0.4276
Selenium,multiMediaDevices_webcams,0.2339
Selenium,permissions_accelerometer,0.6488
Selenium,resOverflow_errorMessage,0.5
Selenium,userAgentData_model,0.0
Selenium,videoFormats,0.0
Selenium,screen_pixel_depth,0.2441
Selenium,user-agent,0.8299
Selenium,audioFormats,0.0
Selenium,screen_availWidth,0.4677
Selenium,navigator_properties,0.0
Selenium,permissions_microphone,0.4276
Selenium,webDriverValue,0.8433
Selenium,sec-fetch-dest,0.0
Selenium,screen_availTop,0.2614
Selenium,window_outer_width,0.9594
Selenium,battery_ondischargingtimechange,0.0
Selenium,audioFormats_audio/aac,0.5
Selenium,x-forwarded-proto,0.0
Selenium,gyroscope,0.5
Selenium,accept,0.0394
Selenium,userAgentData_platformVersion,0.174
Selenium,screen_availHeight,0.5622
Selenium,languages-js,0.2898
Selenium,audioFormats_audio/mpeg,0.5
Selenium,platform,0.2717
Selenium,sec-ch-ua-mobile,0.5
Selenium,timezone,0.4087
Selenium,accept-language,0.2189
Selenium,sec-ch-ua-form-factors,0.0394
Selenium,content-type,0.0
Selenium,userAgentData_platform,0.5914
Selenium,detailChrome_webstore,0.5
Selenium,audioContext,0.0
Selenium,signature-agent,0.0512
Selenium,permissions_payment-handler,0.6488
Selenium,navigator_properties_total,0.6661
Selenium,detailChrome_connect,0.5453
Selenium,sec-fetch-user,0.0
Selenium,battery_onlevelchange,0.0
Selenium,etsl,0.5
Selenium,vendor,0.5
Selenium,client_width,0.9353
Selenium,resOverflow_errorName,0.5
Selenium,permissions_clipboard-read,0.6488
Selenium,window_inner_height,1.0
Selenium,connection-js_downlink,0.9057
Selenium,window_screenX,0.3535
Selenium,cookie_behavior,0.4276
Playwright,iframeChrome,0.5
Playwright,userAgentData_mobile,0.5406
Playwright,chromeRuntimeProps,0.4737
Playwright,audioContext_sampleRate,0.4425
Playwright,permissions_midi,0.4276
Playwright,host,0.0
Playwright,permissions_geolocation,0.4669
Playwright,dnt,0.0394
Playwright,priority,0.7043
Playwright,signature,0.0512
Playwright,screen_left,0.5039
Playwright,doNotTrack,0.0661
Playwright,permissions_background-sync,0.6488
Playwright,detailChrome_loadTimes,0.5256
Playwright,sec-fetch-mode,0.0
Playwright,battery_onchargingchange,0.0
Playwright,origin,0.9
Playwright,screen_availLeft,0.2205
Playwright,content-length,0.9993
Playwright,connection-js_saveData,0.5
Playwright,webGLRendererException,0.7031
Playwright,connection,0.0
Playwright,multiMediaDevices_micros,0.222
Playwright,cf-visitor,0.0
Playwright,client_height,0.9446
Playwright,buildID,0.5
Playwright,cf-ray,0.0
Playwright,detailChrome,0.5
Playwright,sec-ch-ua-platform,0.6622
Playwright,detailChrome_csi,0.5256
Playwright,permissions_persistent-storage,0.4276
Playwright,userAgentData_wow64,0.5406
Playwright,keyboard,0.7118
Playwright,userAgentData_architecture,0.5723
Playwright,audioFormats_audio/x-mpegurl,0.5
Playwright,detailChrome_app,0.5256
Playwright,resOverflow,0.0
Playwright,audioFormats_audio/flac,0.5
Playwright,productSub,0.5
Playwright,connection-js_type,0.1024
Playwright,connection-js_effectiveType,0.5134
Playwright,accept-encoding,0.0394
Playwright,screen_depth,0.2441
Playwright,permissions_magnetometer,0.6488
Playwright,cf-connecting-ip,0.0
Playwright,screen_width,0.9488
Playwright,referer,0.0394
Playwright,signature-input,0.0512
Playwright,screen_top,0.5
Playwright,userAgentData_fullVersionList,0.6821
Playwright,window_device_pixel_ratio,0.152
Playwright,battery,0.5
Playwright,resOverflow_depth,0.985
Playwright,battery_onchargingtimechange,0.0
Playwright,userAgentData_brands,0.6982
Playwright,screen_height,1.0
Playwright,userAgentData_formFactors,0.5274
Playwright,sec-ch-ua,0.9335
Playwright,upgrade-insecure-requests,0.0
Playwright,multiMediaDevices_speakers,0.5012
Playwright,permissions_push,0.5
Playwright,permissions_notifications,0.5898
Playwright,permissions_clipboard-write,0.6488
Playwright,userAgentData,0.6684
Playwright,hardwareConcurrency,0.3535
Playwright,battery_chargingTime,0.5634
Playwright,battery_charging,0.5547
Playwright,battery_dischargingTime,0.0984
Playwright,navigator_properties_hash,0.6661
Playwright,audioFormats_audio/3gpp,0.1622
Playwright,cf-ipcountry,0.0
Playwright,userAgentData_bitness,0.5274
Playwright,plugins,0.565
Playwright,window_outer_height,1.0
Playwright,deviceMemory,0.5004
Playwright,battery_level,0.6669
Playwright,sec-fetch-site,0.0
Playwright,resOverflow_errorStacklength,0.9251
Playwright,window_inner_width,0.8315
Playwright,connection-js,0.5
Playwright,alt-used,0.015
Playwright,userAgent-js,0.9803
Playwright,detailChrome_sendMessage,0.5453
Playwright,hasChrome,0.5
Playwright,connection-js_rtt,0.8626
Playwright,permissions,0.0
Playwright,connection-js_downlinkMax,0.0
Playwright,cdn-loop,0.0
Playwright,audioContext_state,0.4197
Playwright,multiMediaDevices,0.0024
Playwright,detailChrome_runtime,0.5453
Playwright,"videoFormats_video/ogg; codecs=""opus""",0.5
Playwright,permissions_camera,0.4276
Playwright,multiMediaDevices_webcams,0.2339
Playwright,permissions_accelerometer,0.6488
Playwright,resOverflow_errorMessage,0.5
Playwright,userAgentData_model,0.0
Playwright,videoFormats,0.0
Playwright,screen_pixel_depth,0.2441
Playwright,user-agent,0.9803
Playwright,audioFormats,0.0
Playwright,screen_availWidth,0.9488
Playwright,navigator_properties,0.0
Playwright,permissions_microphone,0.4276
Playwright,webDriverValue,0.8433
Playwright,sec-fetch-dest,0.0
Playwright,screen_availTop,0.2614
Playwright,window_outer_width,0.9744
Playwright,battery_ondischargingtimechange,0.0
Playwright,audioFormats_audio/aac,0.5
Playwright,x-forwarded-proto,0.0
Playwright,gyroscope,0.5
Playwright,accept,0.0394
Playwright,userAgentData_platformVersion,0.174
Playwright,screen_availHeight,1.0
Playwright,languages-js,0.9512
Playwright,audioFormats_audio/mpeg,0.5
Playwright,platform,0.2717
Playwright,sec-ch-ua-mobile,0.5
Playwright,timezone,0.4087
Playwright,accept-language,0.5858
Playwright,sec-ch-ua-form-factors,0.0394
Playwright,content-type,0.0
Playwright,userAgentData_platform,0.5914
Playwright,detailChrome_webstore,0.5
Playwright,audioContext,0.0
Playwright,signature-agent,0.0512
Playwright,permissions_payment-handler,0.6488
Playwright,navigator_properties_total,0.6661
Playwright,detailChrome_connect,0.5453
Playwright,sec-fetch-user,0.0
Playwright,battery_onlevelchange,0.0
Playwright,etsl,0.5
Playwright,vendor,0.5
Playwright,client_width,0.9047
Playwright,resOverflow_errorName,0.5
Playwright,permissions_clipboard-read,0.6488
Playwright,window_inner_height,0.8811
Playwright,connection-js_downlink,0.9148
Playwright,window_screenX,0.3535
Playwright,cookie_behavior,0.4276
Puppeteer,iframeChrome,0.4959
Puppeteer,userAgentData_mobile,0.5398
Puppeteer,chromeRuntimeProps,0.4722
Puppeteer,audioContext_sampleRate,0.4422
Puppeteer,permissions_midi,0.4272
Puppeteer,host,0.0
Puppeteer,permissions_geolocation,0.4666
Puppeteer,dnt,0.0393
Puppeteer,priority,0.7021
Puppeteer,signature,0.0511
Puppeteer,screen_left,0.4998
Puppeteer,doNotTrack,0.0661
Puppeteer,permissions_background-sync,0.6474
Puppeteer,detailChrome_loadTimes,0.5217
Puppeteer,sec-fetch-mode,0.0
Puppeteer,battery_onchargingchange,0.0
Puppeteer,origin,0.8998
Puppeteer,screen_availLeft,0.2203
Puppeteer,content-length,0.9927
Puppeteer,connection-js_saveData,0.4959
Puppeteer,webGLRendererException,0.6944
Puppeteer,connection,0.0
Puppeteer,multiMediaDevices_micros,0.2219
Puppeteer,cf-visitor,0.0
Puppeteer,client_height,0.9442
Puppeteer,buildID,0.4959
Puppeteer,cf-ray,0.0
Puppeteer,detailChrome,0.4959
Puppeteer,sec-ch-ua-platform,0.6596
Puppeteer,detailChrome_csi,0.5217
Puppeteer,permissions_persistent-storage,0.4272
Puppeteer,userAgentData_wow64,0.5398
Puppeteer,keyboard,0.7097
Puppeteer,userAgentData_architecture,0.5718
Puppeteer,audioFormats_audio/x-mpegurl,0.4964
Puppeteer,detailChrome_app,0.5217
Puppeteer,resOverflow,0.0
Puppeteer,audioFormats_audio/flac,0.4959
Puppeteer,productSub,0.4959
Puppeteer,connection-js_type,0.1023
Puppeteer,connection-js_effectiveType,0.5094
Puppeteer,accept-encoding,0.0393
Puppeteer,screen_depth,0.2439
Puppeteer,permissions_magnetometer,0.6474
Puppeteer,cf-connecting-ip,0.0
Puppeteer,screen_width,0.3635
Puppeteer,referer,0.0393
Puppeteer,signature-input,0.0511
Puppeteer,screen_top,0.4959
Puppeteer,userAgentData_fullVersionList,0.6989
Puppeteer,window_device_pixel_ratio,0.1518
Puppeteer,battery,0.4959
Puppeteer,resOverflow_depth,0.9718
Puppeteer,battery_onchargingtimechange,0.0
Puppeteer,userAgentData_brands,0.6989
Puppeteer,screen_height,0.3635
Puppeteer,userAgentData_formFactors,0.5268
Puppeteer,sec-ch-ua,0.9334
Puppeteer,upgrade-insecure-requests,0.0
Puppeteer,multiMediaDevices_speakers,0.4992
Puppeteer,permissions_push,0.4959
Puppeteer,permissions_notifications,0.5893
Puppeteer,permissions_clipboard-write,0.6474
Puppeteer,userAgentData,0.6682
Puppeteer,hardwareConcurrency,0.3533
Puppeteer,battery_chargingTime,0.5613
Puppeteer,battery_charging,0.5511
Puppeteer,battery_dischargingTime,0.0983
Puppeteer,navigator_properties_hash,0.6635
Puppeteer,audioFormats_audio/3gpp,0.1621
Puppeteer,cf-ipcountry,0.0
Puppeteer,userAgentData_bitness,0.5268
Puppeteer,plugins,0.3312
Puppeteer,window_outer_height,0.9591
Puppeteer,deviceMemory,0.4963
Puppeteer,battery_level,0.6644
Puppeteer,sec-fetch-site,0.0
Puppeteer,resOverflow_errorStacklength,0.889
Puppeteer,window_inner_width,0.8308
Puppeteer,connection-js,0.4959
Puppeteer,alt-used,0.0149
Puppeteer,userAgent-js,0.9607
Puppeteer,detailChrome_sendMessage,0.5416
Puppeteer,hasChrome,0.4959
Puppeteer,connection-js_rtt,0.9031
Puppeteer,permissions,0.0
Puppeteer,connection-js_downlinkMax,0.0
Puppeteer,cdn-loop,0.0
Puppeteer,audioContext_state,0.4194
Puppeteer,multiMediaDevices,0.0024
Puppeteer,detailChrome_runtime,0.5416
Puppeteer,"videoFormats_video/ogg; codecs=""opus""",0.4959
Puppeteer,permissions_camera,0.4272
Puppeteer,multiMediaDevices_webcams,0.2337
Puppeteer,permissions_accelerometer,0.6474
Puppeteer,resOverflow_errorMessage,0.4959
Puppeteer,userAgentData_model,0.0
Puppeteer,videoFormats,0.0
Puppeteer,screen_pixel_depth,0.2439
Puppeteer,user-agent,0.9607
Puppeteer,audioFormats,0.0
Puppeteer,screen_availWidth,0.4673
Puppeteer,navigator_properties,0.0
Puppeteer,permissions_microphone,0.4272
Puppeteer,webDriverValue,0.8426
Puppeteer,sec-fetch-dest,0.0
Puppeteer,screen_availTop,0.2612
Puppeteer,window_outer_width,0.9591
Puppeteer,battery_ondischargingtimechange,0.0
Puppeteer,audioFormats_audio/aac,0.4959
Puppeteer,x-forwarded-proto,0.0
Puppeteer,gyroscope,0.4959
Puppeteer,accept,0.0393
Puppeteer,userAgentData_platformVersion,0.1739
Puppeteer,screen_availHeight,0.5618
Puppeteer,languages-js,0.5796
Puppeteer,audioFormats_audio/mpeg,0.4959
Puppeteer,platform,0.2714
Puppeteer,sec-ch-ua-mobile,0.4959
Puppeteer,timezone,0.4083
Puppeteer,accept-language,0.2187
Puppeteer,sec-ch-ua-form-factors,0.0393
Puppeteer,content-type,0.0
Puppeteer,userAgentData_platform,0.5911
Puppeteer,detailChrome_webstore,0.4959
Puppeteer,audioContext,0.0
Puppeteer,signature-agent,0.0511
Puppeteer,permissions_payment-handler,0.6474
Puppeteer,navigator_properties_total,0.6635
Puppeteer,detailChrome_connect,0.5416
Puppeteer,sec-fetch-user,0.0
Puppeteer,battery_onlevelchange,0.0
Puppeteer,etsl,0.4959
Puppeteer,vendor,0.4959
Puppeteer,client_width,0.9044
Puppeteer,resOverflow_errorName,0.4959
Puppeteer,permissions_clipboard-read,0.6474
Puppeteer,window_inner_height,0.8804
Puppeteer,connection-js_downlink,0.9154
Puppeteer,window_screenX,0.3533
Puppeteer,cookie_behavior,0.4272
Crawl4AI,iframeChrome,0.128
Crawl4AI,userAgentData_mobile,0.4842
Crawl4AI,chromeRuntimeProps,0.4739
Crawl4AI,audioContext_sampleRate,0.6121
Crawl4AI,permissions_midi,0.9129
Crawl4AI,host,0.0
Crawl4AI,permissions_geolocation,0.9129
Crawl4AI,dnt,0.0379
Crawl4AI,priority,0.5212
Crawl4AI,signature,0.0492
Crawl4AI,screen_left,0.128
Crawl4AI,doNotTrack,0.0636
Crawl4AI,permissions_background-sync,0.7848
Crawl4AI,detailChrome_loadTimes,0.1773
Crawl4AI,sec-fetch-mode,0.0
Crawl4AI,battery_onchargingchange,0.0
Crawl4AI,origin,0.9
Crawl4AI,screen_availLeft,0.2121
Crawl4AI,content-length,0.9983
Crawl4AI,connection-js_saveData,0.128
Crawl4AI,webGLRendererException,0.5442
Crawl4AI,connection,0.0
Crawl4AI,multiMediaDevices_micros,0.2136
Crawl4AI,cf-visitor,0.0
Crawl4AI,client_height,0.9235
Crawl4AI,buildID,0.128
Crawl4AI,cf-ray,0.0
Crawl4AI,detailChrome,0.128
Crawl4AI,sec-ch-ua-platform,0.8944
Crawl4AI,detailChrome_csi,0.1773
Crawl4AI,permissions_persistent-storage,0.9129
Crawl4AI,userAgentData_wow64,0.4842
Crawl4AI,keyboard,0.8182
Crawl4AI,userAgentData_architecture,0.5452
Crawl4AI,audioFormats_audio/x-mpegurl,0.1773
Crawl4AI,detailChrome_app,0.1773
Crawl4AI,resOverflow,0.0
Crawl4AI,audioFormats_audio/flac,0.128
Crawl4AI,productSub,0.128
Crawl4AI,connection-js_type,0.0985
Crawl4AI,connection-js_effectiveType,0.1538
Crawl4AI,accept-encoding,0.0379
Crawl4AI,screen_depth,0.2348
Crawl4AI,permissions_magnetometer,0.7848
Crawl4AI,cf-connecting-ip,0.0
Crawl4AI,screen_width,0.9242
Crawl4AI,referer,0.0379
Crawl4AI,signature-input,0.0492
Crawl4AI,screen_top,0.128
Crawl4AI,userAgentData_fullVersionList,0.7883
Crawl4AI,window_device_pixel_ratio,0.1462
Crawl4AI,battery,0.128
Crawl4AI,resOverflow_depth,0.9433
Crawl4AI,battery_onchargingtimechange,0.0
Crawl4AI,userAgentData_brands,0.7874
Crawl4AI,screen_height,0.9242
Crawl4AI,userAgentData_formFactors,0.4906
Crawl4AI,sec-ch-ua,0.9621
Crawl4AI,upgrade-insecure-requests,0.0
Crawl4AI,multiMediaDevices_speakers,0.3333
Crawl4AI,permissions_push,0.128
Crawl4AI,permissions_notifications,0.9621
Crawl4AI,permissions_clipboard-write,0.7848
Crawl4AI,userAgentData,0.5252
Crawl4AI,hardwareConcurrency,0.3402
Crawl4AI,battery_chargingTime,0.9219
Crawl4AI,battery_charging,0.4006
Crawl4AI,battery_dischargingTime,0.3228
Crawl4AI,navigator_properties_hash,0.9621
Crawl4AI,audioFormats_audio/3gpp,0.1561
Crawl4AI,cf-ipcountry,0.0
Crawl4AI,userAgentData_bitness,0.4906
Crawl4AI,plugins,0.9621
Crawl4AI,window_outer_height,0.9242
Crawl4AI,deviceMemory,0.1288
Crawl4AI,battery_level,0.9965
Crawl4AI,sec-fetch-site,0.0
Crawl4AI,resOverflow_errorStacklength,0.7617
Crawl4AI,window_inner_width,0.9242
Crawl4AI,connection-js,0.128
Crawl4AI,alt-used,0.0144
Crawl4AI,userAgent-js,1.0
Crawl4AI,detailChrome_sendMessage,0.2152
Crawl4AI,hasChrome,0.128
Crawl4AI,connection-js_rtt,0.7136
Crawl4AI,permissions,0.0
Crawl4AI,connection-js_downlinkMax,0.0
Crawl4AI,cdn-loop,0.0
Crawl4AI,audioContext_state,0.4377
Crawl4AI,multiMediaDevices,0.0023
Crawl4AI,detailChrome_runtime,0.2152
Crawl4AI,"videoFormats_video/ogg; codecs=""opus""",0.128
Crawl4AI,permissions_camera,0.9129
Crawl4AI,multiMediaDevices_webcams,0.225
Crawl4AI,permissions_accelerometer,0.7848
Crawl4AI,resOverflow_errorMessage,0.128
Crawl4AI,userAgentData_model,0.0
Crawl4AI,videoFormats,0.0
Crawl4AI,screen_pixel_depth,0.2348
Crawl4AI,user-agent,1.0
Crawl4AI,audioFormats,0.0
Crawl4AI,screen_availWidth,0.9242
Crawl4AI,navigator_properties,0.0
Crawl4AI,permissions_microphone,0.9129
Crawl4AI,webDriverValue,0.9129
Crawl4AI,sec-fetch-dest,0.0
Crawl4AI,screen_availTop,0.2515
Crawl4AI,window_outer_width,0.9242
Crawl4AI,battery_ondischargingtimechange,0.0
Crawl4AI,audioFormats_audio/aac,0.128
Crawl4AI,x-forwarded-proto,0.0
Crawl4AI,gyroscope,0.128
Crawl4AI,accept,0.0379
Crawl4AI,userAgentData_platformVersion,0.6579
Crawl4AI,screen_availHeight,0.9242
Crawl4AI,languages-js,0.2788
Crawl4AI,audioFormats_audio/mpeg,0.128
Crawl4AI,platform,0.2614
Crawl4AI,sec-ch-ua-mobile,0.128
Crawl4AI,timezone,0.3932
Crawl4AI,accept-language,0.2106
Crawl4AI,sec-ch-ua-form-factors,0.0379
Crawl4AI,content-type,0.0
Crawl4AI,userAgentData_platform,0.7937
Crawl4AI,detailChrome_webstore,0.128
Crawl4AI,audioContext,0.0
Crawl4AI,signature-agent,0.0492
Crawl4AI,permissions_payment-handler,0.7848
Crawl4AI,navigator_properties_total,0.9129
Crawl4AI,detailChrome_connect,0.2152
Crawl4AI,sec-fetch-user,0.0
Crawl4AI,battery_onlevelchange,0.0
Crawl4AI,etsl,0.128
Crawl4AI,vendor,0.128
Crawl4AI,client_width,0.9603
Crawl4AI,resOverflow_errorName,0.128
Crawl4AI,permissions_clipboard-read,0.7848
Crawl4AI,window_inner_height,0.9242
Crawl4AI,connection-js_downlink,0.9154
Crawl4AI,window_screenX,0.9242
Crawl4AI,cookie_behavior,0.4114
Crawl4AI_Stealth,iframeChrome,0.128
Crawl4AI_Stealth,userAgentData_mobile,0.6015
Crawl4AI_Stealth,chromeRuntimeProps,0.653
Crawl4AI_Stealth,audioContext_sampleRate,0.6121
Crawl4AI_Stealth,permissions_midi,0.9129
Crawl4AI_Stealth,host,0.0
Crawl4AI_Stealth,permissions_geolocation,0.9129
Crawl4AI_Stealth,dnt,1.0
Crawl4AI_Stealth,priority,0.5212
Crawl4AI_Stealth,signature,0.0492
Crawl4AI_Stealth,screen_left,0.128
Crawl4AI_Stealth,doNotTrack,0.9882
Crawl4AI_Stealth,permissions_background-sync,0.7848
Crawl4AI_Stealth,detailChrome_loadTimes,0.1773
Crawl4AI_Stealth,sec-fetch-mode,0.0
Crawl4AI_Stealth,battery_onchargingchange,0.0
Crawl4AI_Stealth,origin,0.9
Crawl4AI_Stealth,screen_availLeft,0.2121
Crawl4AI_Stealth,content-length,0.9982
Crawl4AI_Stealth,connection-js_saveData,0.128
Crawl4AI_Stealth,webGLRendererException,0.8424
Crawl4AI_Stealth,connection,0.0
Crawl4AI_Stealth,multiMediaDevices_micros,0.2136
Crawl4AI_Stealth,cf-visitor,0.0
Crawl4AI_Stealth,client_height,0.9205
Crawl4AI_Stealth,buildID,0.128
Crawl4AI_Stealth,cf-ray,0.0
Crawl4AI_Stealth,detailChrome,0.128
Crawl4AI_Stealth,sec-ch-ua-platform,1.0
Crawl4AI_Stealth,detailChrome_csi,0.1773
Crawl4AI_Stealth,permissions_persistent-storage,0.9129
Crawl4AI_Stealth,userAgentData_wow64,0.6015
Crawl4AI_Stealth,keyboard,0.8182
Crawl4AI_Stealth,userAgentData_architecture,0.6015
Crawl4AI_Stealth,audioFormats_audio/x-mpegurl,0.1773
Crawl4AI_Stealth,detailChrome_app,0.1773
Crawl4AI_Stealth,resOverflow,0.0
Crawl4AI_Stealth,audioFormats_audio/flac,0.128
Crawl4AI_Stealth,productSub,0.128
Crawl4AI_Stealth,connection-js_type,0.0985
Crawl4AI_Stealth,connection-js_effectiveType,0.1538
Crawl4AI_Stealth,accept-encoding,1.0
Crawl4AI_Stealth,screen_depth,0.2348
Crawl4AI_Stealth,permissions_magnetometer,0.7848
Crawl4AI_Stealth,cf-connecting-ip,0.0
Crawl4AI_Stealth,screen_width,0.9242
Crawl4AI_Stealth,referer,1.0
Crawl4AI_Stealth,signature-input,0.0492
Crawl4AI_Stealth,screen_top,0.128
Crawl4AI_Stealth,userAgentData_fullVersionList,0.5697
Crawl4AI_Stealth,window_device_pixel_ratio,0.1462
Crawl4AI_Stealth,battery,0.128
Crawl4AI_Stealth,resOverflow_depth,0.9482
Crawl4AI_Stealth,battery_onchargingtimechange,0.0
Crawl4AI_Stealth,userAgentData_brands,0.6015
Crawl4AI_Stealth,screen_height,0.9242
Crawl4AI_Stealth,userAgentData_formFactors,0.5697
Crawl4AI_Stealth,sec-ch-ua,1.0
Crawl4AI_Stealth,upgrade-insecure-requests,0.0
Crawl4AI_Stealth,multiMediaDevices_speakers,0.3333
Crawl4AI_Stealth,permissions_push,0.128
Crawl4AI_Stealth,permissions_notifications,0.9621
Crawl4AI_Stealth,permissions_clipboard-write,0.7848
Crawl4AI_Stealth,userAgentData,0.8008
Crawl4AI_Stealth,hardwareConcurrency,0.3402
Crawl4AI_Stealth,battery_chargingTime,0.5593
Crawl4AI_Stealth,battery_charging,0.2333
Crawl4AI_Stealth,battery_dischargingTime,0.0947
Crawl4AI_Stealth,navigator_properties_hash,0.9621
Crawl4AI_Stealth,audioFormats_audio/3gpp,0.1561
Crawl4AI_Stealth,cf-ipcountry,0.0
Crawl4AI_Stealth,userAgentData_bitness,0.5697
Crawl4AI_Stealth,plugins,0.9621
Crawl4AI_Stealth,window_outer_height,0.9242
Crawl4AI_Stealth,deviceMemory,0.1288
Crawl4AI_Stealth,battery_level,0.8609
Crawl4AI_Stealth,sec-fetch-site,0.0
Crawl4AI_Stealth,resOverflow_errorStacklength,0.7747
Crawl4AI_Stealth,window_inner_width,0.9242
Crawl4AI_Stealth,connection-js,0.128
Crawl4AI_Stealth,alt-used,0.0144
Crawl4AI_Stealth,userAgent-js,1.0
Crawl4AI_Stealth,detailChrome_sendMessage,0.9508
Crawl4AI_Stealth,hasChrome,0.128
Crawl4AI_Stealth,connection-js_rtt,0.8226
Crawl4AI_Stealth,permissions,0.0
Crawl4AI_Stealth,connection-js_downlinkMax,0.0
Crawl4AI_Stealth,cdn-loop,0.0
Crawl4AI_Stealth,audioContext_state,0.4377
Crawl4AI_Stealth,multiMediaDevices,0.0023
Crawl4AI_Stealth,detailChrome_runtime,0.9508
Crawl4AI_Stealth,"videoFormats_video/ogg; codecs=""opus""",0.128
Crawl4AI_Stealth,permissions_camera,0.9129
Crawl4AI_Stealth,multiMediaDevices_webcams,0.225
Crawl4AI_Stealth,permissions_accelerometer,0.7848
Crawl4AI_Stealth,resOverflow_errorMessage,0.128
Crawl4AI_Stealth,userAgentData_model,0.0
Crawl4AI_Stealth,videoFormats,0.0
Crawl4AI_Stealth,screen_pixel_depth,0.2348
Crawl4AI_Stealth,user-agent,1.0
Crawl4AI_Stealth,audioFormats,0.0
Crawl4AI_Stealth,screen_availWidth,0.9242
Crawl4AI_Stealth,navigator_properties,0.0
Crawl4AI_Stealth,permissions_microphone,0.9129
Crawl4AI_Stealth,webDriverValue,0.9129
Crawl4AI_Stealth,sec-fetch-dest,0.0
Crawl4AI_Stealth,screen_availTop,0.2515
Crawl4AI_Stealth,window_outer_width,0.9242
Crawl4AI_Stealth,battery_ondischargingtimechange,0.0
Crawl4AI_Stealth,audioFormats_audio/aac,0.128
Crawl4AI_Stealth,x-forwarded-proto,0.0
Crawl4AI_Stealth,gyroscope,0.128
Crawl4AI_Stealth,accept,1.0
Crawl4AI_Stealth,userAgentData_platformVersion,0.1674
Crawl4AI_Stealth,screen_availHeight,0.9242
Crawl4AI_Stealth,languages-js,0.2788
Crawl4AI_Stealth,audioFormats_audio/mpeg,0.128
Crawl4AI_Stealth,platform,0.9653
Crawl4AI_Stealth,sec-ch-ua-mobile,0.128
Crawl4AI_Stealth,timezone,0.3932
Crawl4AI_Stealth,accept-language,1.0
Crawl4AI_Stealth,sec-ch-ua-form-factors,1.0
Crawl4AI_Stealth,content-type,0.0
Crawl4AI_Stealth,userAgentData_platform,0.6015
Crawl4AI_Stealth,detailChrome_webstore,0.128
