Agent,attribute,value,intra_p,excl_p,v_score
Selenium,content-length,36113.0,0.09,0.9953,0.0896
Selenium,content-length,34739.0,0.09,0.9992,0.0899
Selenium,content-length,34740.0,0.07,1.0,0.07
Selenium,content-length,31830.0,0.05,0.9961,0.0498
Selenium,content-length,36071.0,0.03,0.9961,0.0299
Selenium,content-length,36072.0,0.02,0.9969,0.0199
Selenium,content-length,34738.0,0.02,0.9992,0.02
Selenium,content-length,34737.0,0.02,0.9976,0.02
Selenium,connection-js_saveData,False,0.5,0.0937,0.0469
Selenium,connection-js_saveData,MISSING,0.5,0.9063,0.4531
Selenium,webGLRendererException,MISSING,0.4,0.6843,0.2737
Selenium,webGLRendererException,t7TqrxctHGyb,0.3,0.4315,0.1294
Selenium,webGLRendererException,o0CpwrAikMDS,0.25,0.9661,0.2415
Selenium,webGLRendererException,TYcDiInOUT3B,0.05,0.9945,0.0497
Selenium,connection,MISSING,1.0,0.0,0.0
Selenium,multiMediaDevices_micros,1,1.0,0.222,0.222
Selenium,cf-visitor,MISSING,1.0,0.0,0.0
Selenium,client_height,2401,0.3,0.9528,0.2858
Selenium,client_height,2416,0.23,0.9953,0.2289
Selenium,client_height,127,0.1,0.7984,0.0798
Selenium,client_height,27,0.1,0.9339,0.0934
Selenium,client_height,134,0.1,0.9843,0.0984
Selenium,client_height,34,0.1,0.985,0.0985
Selenium,client_height,2434,0.06,0.9898,0.0594
Selenium,client_height,2452,0.01,0.9913,0.0099
Selenium,buildID,NOT_SUPPORTED,0.5,0.0937,0.0469
Selenium,buildID,20181001000000,0.5,0.9063,0.4531
Selenium,cf-ray,MISSING,1.0,0.0,0.0
Selenium,detailChrome,SUPPORTED,0.5,0.0937,0.0469
Selenium,detailChrome,NOT_SUPPORTED,0.5,0.9063,0.4531
Selenium,sec-ch-ua-platform,"""Linux""",0.5,0.4181,0.2091
Selenium,sec-ch-ua-platform,MISSING,0.5,0.9063,0.4531
Selenium,detailChrome_csi,37,0.5,0.1449,0.0724
Selenium,detailChrome_csi,MISSING,0.5,0.9063,0.4531
Selenium,permissions_persistent-storage,prompt,1.0,0.4276,0.4276
Selenium,userAgentData_wow64,MISSING,0.7,0.6016,0.4211
Selenium,userAgentData_wow64,False,0.3,0.3984,0.1195
Selenium,keyboard,"`\[],0123456789=<abcdefghijklmnopqrstuvwxyz-.';/",0.5,0.5173,0.2587
Selenium,keyboard,NOT_SUPPORTED,0.5,0.9063,0.4531
Selenium,userAgentData_architecture,MISSING,0.7,0.6016,0.4211
Selenium,userAgentData_architecture,x86,0.3,0.5039,0.1512
Selenium,audioFormats_audio/x-mpegurl,maybe,0.5,0.1449,0.0724
Selenium,audioFormats_audio/x-mpegurl,MISSING,0.5,0.8551,0.4276
Selenium,detailChrome_app,35,0.5,0.1449,0.0724
Selenium,detailChrome_app,MISSING,0.5,0.9063,0.4531
Selenium,resOverflow,SUPPORTED,1.0,0.0,0.0
Selenium,audioFormats_audio/flac,probably,0.5,0.0937,0.0469
Selenium,audioFormats_audio/flac,maybe,0.5,0.9063,0.4531
Selenium,productSub,20030107,0.5,0.0937,0.0469
Selenium,productSub,20100101,0.5,0.9063,0.4531
Selenium,connection-js_type,MISSING,1.0,0.1024,0.1024
Selenium,connection-js_effectiveType,4g,0.5,0.1205,0.0602
Selenium,connection-js_effectiveType,MISSING,0.5,0.9063,0.4531
Selenium,accept-encoding,"gzip, deflate, br, zstd",1.0,0.0394,0.0394
Selenium,screen_depth,24,1.0,0.2441,0.2441
Selenium,permissions_magnetometer,granted,0.5,0.5213,0.2606
Selenium,permissions_magnetometer,NOT_SUPPORTED,0.5,0.7764,0.3882
Selenium,cf-connecting-ip,MISSING,1.0,0.0,0.0
Selenium,screen_width,1920,1.0,0.3638,0.3638
Selenium,referer,INTERNAL,1.0,0.0394,0.0394
Selenium,signature-input,MISSING,1.0,0.0512,0.0512
Selenium,screen_top,MISSING,0.5,0.0937,0.0469
Selenium,screen_top,0,0.5,0.9063,0.4531
Selenium,userAgentData_fullVersionList,MISSING,0.7,0.5685,0.398
Selenium,userAgentData_fullVersionList,Chromium:144.0.7559.96|Google Chrome:144.0.7559.96|Not(A:Brand:8.0.0.0,0.3,0.7465,0.2239
Selenium,window_device_pixel_ratio,1.0,1.0,0.152,0.152
Selenium,battery,SUPPORTED,0.5,0.0937,0.0469
Selenium,battery,NOT_SUPPORTED,0.5,0.9063,0.4531
Selenium,resOverflow_depth,8926,0.3,0.7504,0.2251
Selenium,resOverflow_depth,8911,0.1,0.9858,0.0986
Selenium,resOverflow_depth,8900,0.09,1.0,0.09
Selenium,resOverflow_depth,8909,0.01,0.9992,0.01
Selenium,resOverflow_depth,23770,0.01,1.0,0.01
Selenium,resOverflow_depth,17493,0.01,1.0,0.01
Selenium,resOverflow_depth,21670,0.01,1.0,0.01
Selenium,resOverflow_depth,22195,0.01,1.0,0.01
Selenium,resOverflow_depth,23096,0.01,1.0,0.01
Selenium,resOverflow_depth,21483,0.01,1.0,0.01
Selenium,resOverflow_depth,19651,0.01,1.0,0.01
Selenium,resOverflow_depth,23439,0.01,1.0,0.01
Selenium,resOverflow_depth,20109,0.01,1.0,0.01
Selenium,resOverflow_depth,20074,0.01,1.0,0.01
Selenium,resOverflow_depth,18972,0.01,1.0,0.01
Selenium,resOverflow_depth,23555,0.01,1.0,0.01
Selenium,resOverflow_depth,23613,0.01,1.0,0.01
Selenium,resOverflow_depth,23809,0.01,1.0,0.01
Selenium,resOverflow_depth,19757,0.01,1.0,0.01
Selenium,resOverflow_depth,20141,0.01,1.0,0.01
Selenium,resOverflow_depth,24361,0.01,1.0,0.01
Selenium,resOverflow_depth,21667,0.01,1.0,0.01
Selenium,resOverflow_depth,21118,0.01,1.0,0.01
Selenium,resOverflow_depth,23074,0.01,1.0,0.01
Selenium,resOverflow_depth,24729,0.01,1.0,0.01
Selenium,resOverflow_depth,23922,0.01,1.0,0.01
Selenium,resOverflow_depth,24363,0.01,1.0,0.01
Selenium,resOverflow_depth,23842,0.01,1.0,0.01
Selenium,resOverflow_depth,24995,0.01,1.0,0.01
Selenium,resOverflow_depth,20443,0.01,1.0,0.01
Selenium,resOverflow_depth,21745,0.01,1.0,0.01
Selenium,resOverflow_depth,21320,0.01,1.0,0.01
Selenium,resOverflow_depth,21322,0.01,1.0,0.01
Selenium,resOverflow_depth,21882,0.01,1.0,0.01
Selenium,resOverflow_depth,24454,0.01,1.0,0.01
Selenium,resOverflow_depth,24106,0.01,1.0,0.01
Selenium,resOverflow_depth,24615,0.01,1.0,0.01
Selenium,resOverflow_depth,24260,0.01,1.0,0.01
Selenium,resOverflow_depth,25276,0.01,1.0,0.01
Selenium,resOverflow_depth,24493,0.01,1.0,0.01
Selenium,resOverflow_depth,24570,0.01,1.0,0.01
Selenium,resOverflow_depth,24755,0.01,1.0,0.01
Selenium,resOverflow_depth,25074,0.01,1.0,0.01
Selenium,resOverflow_depth,24806,0.01,1.0,0.01
Selenium,resOverflow_depth,24785,0.01,0.9992,0.01
Selenium,resOverflow_depth,24648,0.01,1.0,0.01
Selenium,resOverflow_depth,24267,0.01,1.0,0.01
Selenium,resOverflow_depth,24569,0.01,1.0,0.01
Selenium,resOverflow_depth,24424,0.01,1.0,0.01
Selenium,resOverflow_depth,21112,0.01,1.0,0.01
Selenium,resOverflow_depth,21751,0.01,1.0,0.01
Selenium,resOverflow_depth,21765,0.01,1.0,0.01
Selenium,resOverflow_depth,21849,0.01,1.0,0.01
Selenium,resOverflow_depth,22417,0.01,1.0,0.01
Selenium,battery_onchargingtimechange,MISSING,1.0,0.0,0.0
Selenium,userAgentData_brands,MISSING,0.7,0.6016,0.4211
Selenium,userAgentData_brands,Chromium:144|Google Chrome:144|Not(A:Brand:8,0.3,0.637,0.1911
Selenium,screen_height,1080,1.0,0.3638,0.3638
Selenium,userAgentData_formFactors,MISSING,0.7,0.5685,0.398
Selenium,userAgentData_formFactors,Desktop,0.3,0.4315,0.1294
Selenium,sec-ch-ua,"""Not(A:Brand"";v=""8"", ""Chromium"";v=""144"", ""Google Chrome"";v=""144""",0.5,0.5039,0.252
Selenium,sec-ch-ua,MISSING,0.5,0.9063,0.4531
Selenium,upgrade-insecure-requests,MISSING,1.0,0.0,0.0
Selenium,multiMediaDevices_speakers,1,0.5,0.3071,0.1535
Selenium,multiMediaDevices_speakers,0,0.5,0.6953,0.3476
Selenium,permissions_push,NOT_SUPPORTED,0.5,0.0937,0.0469
Selenium,permissions_push,prompt,0.5,0.9063,0.4531
Selenium,permissions_notifications,prompt,1.0,0.5898,0.5898
Selenium,permissions_clipboard-write,granted,0.5,0.5213,0.2606
Selenium,permissions_clipboard-write,NOT_SUPPORTED,0.5,0.7764,0.3882
Selenium,userAgentData,MISSING,0.4,0.6843,0.2737
Selenium,userAgentData,SUPPORTED,0.3,0.3984,0.1195
Selenium,userAgentData,NOT_SUPPORTED,0.3,0.9173,0.2752
Selenium,hardwareConcurrency,8,1.0,0.3535,0.3535
Selenium,battery_chargingTime,0,0.5,0.3575,0.1787
Selenium,battery_chargingTime,MISSING,0.5,0.7693,0.3846
Selenium,battery_charging,True,0.5,0.2031,0.1016
Selenium,battery_charging,MISSING,0.5,0.9063,0.4531
Selenium,battery_dischargingTime,MISSING,1.0,0.0984,0.0984
Selenium,navigator_properties_hash,XY0_CstcP1u9,0.5,0.4181,0.2091
Selenium,navigator_properties_hash,af_j_LS2019b,0.5,0.9142,0.4571
Selenium,audioFormats_audio/3gpp,MISSING,1.0,0.1622,0.1622
Selenium,cf-ipcountry,MISSING,1.0,0.0,0.0
Selenium,userAgentData_bitness,MISSING,0.7,0.5685,0.398
Selenium,userAgentData_bitness,64,0.3,0.4315,0.1294
Selenium,plugins,Plugin 0: PDF Viewer; Portable Document Format; internal-pdf-viewer. Plugin 1: Chrome PDF Viewer; Portable Document Format; internal-pdf-viewer. Plugin 2: Chromium PDF Viewer; Portable Document Format; internal-pdf-viewer. Plugin 3: Microsoft Edge PDF Viewer; Portable Document Format; internal-pdf-viewer. Plugin 4: WebKit built-in PDF; Portable Document Format; internal-pdf-viewer. ,1.0,0.3315,0.3315
Selenium,window_outer_height,1060,0.5,0.9575,0.4787
Selenium,window_outer_height,1024,0.5,0.9614,0.4807
Selenium,deviceMemory,8.0,0.5,0.0945,0.0472
Selenium,deviceMemory,NOT_SUPPORTED,0.5,0.9063,0.4531
Selenium,battery_level,1,0.5,0.4276,0.2138
Selenium,battery_level,MISSING,0.5,0.9063,0.4531
Selenium,sec-fetch-site,same-site,1.0,0.0,0.0
Selenium,resOverflow_errorStacklength,873,0.25,0.6402,0.16
Selenium,resOverflow_errorStacklength,10496,0.25,0.9465,0.2366
Selenium,resOverflow_errorStacklength,12416,0.2,0.9693,0.1939
Selenium,resOverflow_errorStacklength,1074,0.1,0.9362,0.0936
Selenium,resOverflow_errorStacklength,1008,0.1,0.7787,0.0779
Selenium,resOverflow_errorStacklength,819,0.05,0.8929,0.0446
Selenium,resOverflow_errorStacklength,9728,0.05,0.9906,0.0495
Selenium,window_inner_width,925,0.5,0.9969,0.4984
Selenium,window_inner_width,1280,0.5,0.7921,0.3961
Selenium,connection-js,SUPPORTED,0.5,0.0937,0.0469
Selenium,connection-js,NOT_SUPPORTED,0.5,0.9063,0.4531
Selenium,alt-used,MISSING,1.0,0.015,0.015
Selenium,userAgent-js,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",0.5,0.6984,0.3492
Selenium,userAgent-js,Mozilla/5.0 (X11; Linux x86_64; rv:147.0) Gecko/20100101 Firefox/147.0,0.5,0.9614,0.4807
Selenium,detailChrome_sendMessage,59,0.5,0.1843,0.0921
Selenium,detailChrome_sendMessage,MISSING,0.5,0.9063,0.4531
Selenium,hasChrome,True,0.5,0.0937,0.0469
Selenium,hasChrome,False,0.5,0.9063,0.4531
Selenium,connection-js_rtt,MISSING,0.5,0.9063,0.4531
Selenium,connection-js_rtt,50,0.46,0.874,0.402
Selenium,connection-js_rtt,0,0.03,0.9165,0.0275
Selenium,connection-js_rtt,100,0.01,0.6252,0.0063
Selenium,permissions,SUPPORTED,1.0,0.0,0.0
Selenium,connection-js_downlinkMax,MISSING,1.0,0.0,0.0
Selenium,cdn-loop,MISSING,1.0,0.0,0.0
Selenium,audioContext_state,suspended,1.0,0.4197,0.4197
Selenium,multiMediaDevices,SUPPORTED,1.0,0.0024,0.0024
Selenium,detailChrome_runtime,NOT_SUPPORTED,0.5,0.1843,0.0921
Selenium,detailChrome_runtime,MISSING,0.5,0.9063,0.4531
Selenium,"videoFormats_video/ogg; codecs=""opus""",probably,0.5,0.0937,0.0469
Selenium,"videoFormats_video/ogg; codecs=""opus""",MISSING,0.5,0.9063,0.4531
Selenium,permissions_camera,prompt,1.0,0.4276,0.4276
Selenium,multiMediaDevices_webcams,1,1.0,0.2339,0.2339
Selenium,permissions_accelerometer,granted,0.5,0.5213,0.2606
Selenium,permissions_accelerometer,NOT_SUPPORTED,0.5,0.7764,0.3882
Selenium,resOverflow_errorMessage,Maximum call stack size exceeded,0.5,0.0937,0.0469
Selenium,resOverflow_errorMessage,too much recursion,0.5,0.9063,0.4531
Selenium,userAgentData_model,MISSING,1.0,0.0,0.0
Selenium,videoFormats,SUPPORTED,1.0,0.0,0.0
Selenium,screen_pixel_depth,24,1.0,0.2441,0.2441
Selenium,user-agent,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",0.5,0.6984,0.3492
Selenium,user-agent,Mozilla/5.0 (X11; Linux x86_64; rv:147.0) Gecko/20100101 Firefox/147.0,0.5,0.9614,0.4807
Selenium,audioFormats,SUPPORTED,1.0,0.0,0.0
Selenium,screen_availWidth,1920,1.0,0.4677,0.4677
Selenium,navigator_properties,SUPPORTED,1.0,0.0,0.0
Selenium,permissions_microphone,prompt,1.0,0.4276,0.4276
Selenium,webDriverValue,True,1.0,0.8433,0.8433
Selenium,sec-fetch-dest,empty,1.0,0.0,0.0
Selenium,screen_availTop,0,1.0,0.2614,0.2614
Selenium,window_outer_width,945,0.5,0.9575,0.4787
Selenium,window_outer_width,1332,0.5,0.9614,0.4807
Selenium,battery_ondischargingtimechange,MISSING,1.0,0.0,0.0
Selenium,audioFormats_audio/aac,probably,0.5,0.0937,0.0469
Selenium,audioFormats_audio/aac,maybe,0.5,0.9063,0.4531
Selenium,x-forwarded-proto,https,1.0,0.0,0.0
Selenium,gyroscope,True,0.5,0.0937,0.0469
Selenium,gyroscope,False,0.5,0.9063,0.4531
Selenium,accept,*/*,1.0,0.0394,0.0394
Selenium,userAgentData_platformVersion,MISSING,1.0,0.174,0.174
Selenium,screen_availHeight,1080,1.0,0.5622,0.5622
Selenium,languages-js,"en-US,en",1.0,0.2898,0.2898
Selenium,audioFormats_audio/mpeg,probably,0.5,0.0937,0.0469
Selenium,audioFormats_audio/mpeg,maybe,0.5,0.9063,0.4531
Selenium,platform,Linux x86_64,1.0,0.2717,0.2717
Selenium,sec-ch-ua-mobile,?0,0.5,0.0937,0.0469
Selenium,sec-ch-ua-mobile,MISSING,0.5,0.9063,0.4531
Selenium,timezone,-60,1.0,0.4087,0.4087
Selenium,accept-language,"en-US,en;q=0.9",1.0,0.2189,0.2189
Selenium,sec-ch-ua-form-factors,MISSING,1.0,0.0394,0.0394
Selenium,content-type,application/json,1.0,0.0,0.0
Selenium,userAgentData_platform,MISSING,0.7,0.6016,0.4211
Selenium,userAgentData_platform,Linux,0.3,0.5677,0.1703
Selenium,detailChrome_webstore,NOT_SUPPORTED,0.5,0.0937,0.0469
Selenium,detailChrome_webstore,MISSING,0.5,0.9063,0.4531
Selenium,audioContext,SUPPORTED,1.0,0.0,0.0
Selenium,signature-agent,MISSING,1.0,0.0512,0.0512
Selenium,permissions_payment-handler,granted,0.5,0.5213,0.2606
Selenium,permissions_payment-handler,NOT_SUPPORTED,0.5,0.7764,0.3882
Selenium,navigator_properties_total,79,0.5,0.4181,0.2091
Selenium,navigator_properties_total,45,0.5,0.9142,0.4571
Selenium,detailChrome_connect,55,0.5,0.1843,0.0921
Selenium,detailChrome_connect,MISSING,0.5,0.9063,0.4531
Selenium,sec-fetch-user,MISSING,1.0,0.0,0.0
Selenium,battery_onlevelchange,MISSING,1.0,0.0,0.0
Selenium,etsl,33,0.5,0.0937,0.0469
Selenium,etsl,37,0.5,0.9063,0.4531
Selenium,vendor,Google Inc.,0.5,0.0937,0.0469
Selenium,vendor,NOT_SUPPORTED,0.5,0.9063,0.4531
Selenium,client_width,1264,0.5,0.8724,0.4362
Selenium,client_width,894,0.3,0.9969,0.2991
Selenium,client_width,909,0.2,1.0,0.2
Selenium,resOverflow_errorName,RangeError,0.5,0.0937,0.0469
Selenium,resOverflow_errorName,InternalError,0.5,0.9063,0.4531
Selenium,permissions_clipboard-read,prompt,0.5,0.5213,0.2606
Selenium,permissions_clipboard-read,NOT_SUPPORTED,0.5,0.7764,0.3882
Selenium,window_inner_height,898,0.5,1.0,0.5
Selenium,window_inner_height,887,0.5,1.0,0.5
Selenium,connection-js_downlink,MISSING,0.5,0.9063,0.4531
Selenium,connection-js_downlink,1.45,0.1,0.8921,0.0892
Selenium,connection-js_downlink,1.65,0.09,0.9134,0.0822
Selenium,connection-js_downlink,1.55,0.07,0.8929,0.0625
Selenium,connection-js_downlink,1.5,0.06,0.8843,0.0531
Selenium,connection-js_downlink,1.75,0.06,0.9197,0.0552
Selenium,connection-js_downlink,1.6,0.05,0.9039,0.0452
Selenium,connection-js_downlink,1.7,0.04,0.9213,0.0369
Selenium,connection-js_downlink,10,0.02,0.9189,0.0184
Selenium,connection-js_downlink,9.25,0.01,0.9992,0.01
Selenium,window_screenX,0,1.0,0.3535,0.3535
Selenium,cookie_behavior,ROTATING_COOKIE,1.0,0.4276,0.4276
Playwright,iframeChrome,object,0.5,0.0937,0.0469
Playwright,iframeChrome,undefined,0.5,0.9063,0.4531
Playwright,userAgentData_mobile,MISSING,0.7,0.6016,0.4211
Playwright,userAgentData_mobile,False,0.3,0.3984,0.1195
Playwright,chromeRuntimeProps,NOT_SUPPORTED,0.6,0.3685,0.2211
Playwright,chromeRuntimeProps,MISSING,0.4,0.6315,0.2526
Playwright,audioContext_sampleRate,48000,1.0,0.4425,0.4425
Playwright,permissions_midi,prompt,1.0,0.4276,0.4276
Playwright,host,api.example.org,1.0,0.0,0.0
Playwright,permissions_geolocation,prompt,1.0,0.4669,0.4669
Playwright,dnt,MISSING,1.0,0.0394,0.0394
Playwright,priority,"u=1, i",0.5,0.5024,0.2512
Playwright,priority,u=4,0.5,0.9063,0.4531
Playwright,signature,MISSING,1.0,0.0512,0.0512
Playwright,screen_left,MISSING,0.5,0.0937,0.0469
Playwright,screen_left,0,0.5,0.9142,0.4571
Playwright,doNotTrack,NC,1.0,0.0661,0.0661
Playwright,permissions_background-sync,granted,0.5,0.5213,0.2606
Playwright,permissions_background-sync,NOT_SUPPORTED,0.5,0.7764,0.3882
Playwright,detailChrome_loadTimes,37,0.5,0.1449,0.0724
Playwright,detailChrome_loadTimes,MISSING,0.5,0.9063,0.4531
Playwright,sec-fetch-mode,cors,1.0,0.0,0.0
Playwright,battery_onchargingchange,MISSING,1.0,0.0,0.0
Playwright,origin,https://example.org,0.1,0.848,0.0848
Playwright,origin,https://site1.example.org,0.1,0.9157,0.0916
Playwright,origin,https://site2.example.org,0.1,0.915,0.0915
Playwright,origin,https://site3.example.org,0.1,0.9047,0.0905
Playwright,origin,https://site4.example.org,0.1,0.8748,0.0875
Playwright,origin,https://site5.example.org,0.1,0.915,0.0915
Playwright,origin,https://site6.example.org,0.1,0.9102,0.091
Playwright,origin,https://site8.example.org,0.1,0.8748,0.0875
Playwright,origin,https://site7.example.org,0.1,0.9228,0.0923
Playwright,origin,https://site9.example.org,0.1,0.9189,0.0919
Playwright,screen_availLeft,0,1.0,0.2205,0.2205
Playwright,content-length,31574.0,0.25,1.0,0.25
Playwright,content-length,36014.0,0.1,1.0,0.1
Playwright,content-length,34732.0,0.1,1.0,0.1
Playwright,content-length,30546.0,0.1,1.0,0.1
Playwright,content-length,30545.0,0.1,1.0,0.1
Playwright,content-length,36018.0,0.08,1.0,0.08
Playwright,content-length,36017.0,0.07,0.9913,0.0694
Playwright,content-length,34733.0,0.07,1.0,0.07
Playwright,content-length,31519.0,0.05,1.0,0.05
Playwright,content-length,35976.0,0.03,1.0,0.03
Playwright,content-length,35975.0,0.02,1.0,0.02
Playwright,content-length,34737.0,0.02,0.9976,0.02
Playwright,content-length,34736.0,0.01,0.9976,0.01
Playwright,connection-js_saveData,False,0.5,0.0937,0.0469
Playwright,connection-js_saveData,MISSING,0.5,0.9063,0.4531
Playwright,webGLRendererException,MISSING,0.4,0.6843,0.2737
Playwright,webGLRendererException,t7TqrxctHGyb,0.3,0.4315,0.1294
Playwright,webGLRendererException,fyq5dPe5C0V7,0.25,1.0,0.25
Playwright,webGLRendererException,t0n5_V2wGCfo,0.05,1.0,0.05
Playwright,connection,MISSING,1.0,0.0,0.0
Playwright,multiMediaDevices_micros,1,1.0,0.222,0.222
Playwright,cf-visitor,MISSING,1.0,0.0,0.0
Playwright,client_height,2362,0.3,0.9622,0.2887
Playwright,client_height,2401,0.3,0.9528,0.2858
Playwright,client_height,127,0.1,0.7984,0.0798
Playwright,client_height,27,0.1,0.9339,0.0934
Playwright,client_height,134,0.1,0.9843,0.0984
Playwright,client_height,34,0.1,0.985,0.0985
Playwright,buildID,NOT_SUPPORTED,0.5,0.0937,0.0469
Playwright,buildID,20181001000000,0.5,0.9063,0.4531
Playwright,cf-ray,MISSING,1.0,0.0,0.0
Playwright,detailChrome,SUPPORTED,0.5,0.0937,0.0469
Playwright,detailChrome,NOT_SUPPORTED,0.5,0.9063,0.4531
Playwright,sec-ch-ua-platform,"""Linux""",0.5,0.4181,0.2091
Playwright,sec-ch-ua-platform,MISSING,0.5,0.9063,0.4531
Playwright,detailChrome_csi,37,0.5,0.1449,0.0724
Playwright,detailChrome_csi,MISSING,0.5,0.9063,0.4531
Playwright,permissions_persistent-storage,prompt,1.0,0.4276,0.4276
Playwright,userAgentData_wow64,MISSING,0.7,0.6016,0.4211
Playwright,userAgentData_wow64,False,0.3,0.3984,0.1195
Playwright,keyboard,"`\[],0123456789=<abcdefghijklmnopqrstuvwxyz-.';/",0.5,0.5173,0.2587
Playwright,keyboard,NOT_SUPPORTED,0.5,0.9063,0.4531
Playwright,userAgentData_architecture,MISSING,0.7,0.6016,0.4211
Playwright,userAgentData_architecture,x86,0.3,0.5039,0.1512
Playwright,audioFormats_audio/x-mpegurl,maybe,0.5,0.1449,0.0724
Playwright,audioFormats_audio/x-mpegurl,MISSING,0.5,0.8551,0.4276
Playwright,detailChrome_app,35,0.5,0.1449,0.0724
Playwright,detailChrome_app,MISSING,0.5,0.9063,0.4531
Playwright,resOverflow,SUPPORTED,1.0,0.0,0.0
Playwright,audioFormats_audio/flac,probably,0.5,0.0937,0.0469
Playwright,audioFormats_audio/flac,maybe,0.5,0.9063,0.4531
Playwright,productSub,20030107,0.5,0.0937,0.0469
Playwright,productSub,20100101,0.5,0.9063,0.4531
Playwright,connection-js_type,MISSING,1.0,0.1024,0.1024
Playwright,connection-js_effectiveType,4g,0.5,0.1205,0.0602
Playwright,connection-js_effectiveType,MISSING,0.5,0.9063,0.4531
Playwright,accept-encoding,"gzip, deflate, br, zstd",1.0,0.0394,0.0394
Playwright,screen_depth,24,1.0,0.2441,0.2441
Playwright,permissions_magnetometer,granted,0.5,0.5213,0.2606
Playwright,permissions_magnetometer,NOT_SUPPORTED,0.5,0.7764,0.3882
Playwright,cf-connecting-ip,MISSING,1.0,0.0,0.0
Playwright,screen_width,1280,1.0,0.9488,0.9488
Playwright,referer,INTERNAL,1.0,0.0394,0.0394
Playwright,signature-input,MISSING,1.0,0.0512,0.0512
Playwright,screen_top,MISSING,0.5,0.0937,0.0469
Playwright,screen_top,0,0.5,0.9063,0.4531
Playwright,userAgentData_fullVersionList,MISSING,0.7,0.5685,0.398
Playwright,userAgentData_fullVersionList,Chromium:145.0.7632.6|Not:A-Brand:99.0.0.0,0.3,0.9472,0.2842
Playwright,window_device_pixel_ratio,1.0,1.0,0.152,0.152
Playwright,battery,SUPPORTED,0.5,0.0937,0.0469
Playwright,battery,NOT_SUPPORTED,0.5,0.9063,0.4531
Playwright,resOverflow_depth,8924,0.3,0.9606,0.2882
Playwright,resOverflow_depth,8910,0.1,0.9685,0.0969
Playwright,resOverflow_depth,8898,0.1,1.0,0.1
Playwright,resOverflow_depth,24450,0.03,1.0,0.03
Playwright,resOverflow_depth,24613,0.03,1.0,0.03
Playwright,resOverflow_depth,24449,0.03,1.0,0.03
Playwright,resOverflow_depth,24571,0.02,1.0,0.02
Playwright,resOverflow_depth,24612,0.02,1.0,0.02
Playwright,resOverflow_depth,24446,0.02,1.0,0.02
Playwright,resOverflow_depth,24405,0.02,1.0,0.02
Playwright,resOverflow_depth,25019,0.01,1.0,0.01
Playwright,resOverflow_depth,24328,0.01,1.0,0.01
Playwright,resOverflow_depth,24979,0.01,1.0,0.01
Playwright,resOverflow_depth,24693,0.01,1.0,0.01
Playwright,resOverflow_depth,24370,0.01,1.0,0.01
